@RELATION BOW 

@ATTRIBUTE Text string 

@ATTRIBUTE Klase {neutral,positive,negative}
@DATA
'""#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/g8Uof7uz #PampersHelloApps"""',neutral
'Dear #Microsoft - seize the moment - focus on developing Windows7 phones for enterprise solutions. Succeed where #RIM is failing."',neutral
'@D_REALRogers BE SLEEP N WHO NOEZ WHERE I BE BUT HOW IT´s it U so called sleep but every 5 sec u got a new #twitter post up #btfu"',neutral
'RT @spacecanard Today´s the Day. ICS &lt;3 #android #google #samsung"',positive
'#Google confirms #Nexus S will get #Ice_Cream_Sandwich -- for real this time (#Gingerbread devices, too) http://t.co/apLj6Tsk via @engadget"',neutral
'Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone"',positive
'you are so blessed. @apple"',positive
'@garbage Welcome to #Twitter!"',neutral
'#google+ is really confusing.."',negative
'RT @MizzSpicey: Now tuned in to http://t.co/DYMDmU3z with @deejaydenco! #WorldWide #Twitter #Facebook join me!!! #RT"',neutral
'@dwtalker that´s some tough competition right there http://t.co/XP9LhjpR #TechWar #Google #Facebook #Apple #Amazon"',neutral
'[GReader Share] Five Reasons Why Google is Winning the War in Photosharing  http://t.co/coQCLb9R - #photography #fotografia #google+"',positive
'RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0"',neutral
'#Microsoft excludes tablets from its holiday advertising push http://t.co/kPslZjFC"',neutral
'Microsoft turns your body into a touchscreen http://t.co/YE0NZy82 #Microsoft"',neutral
'time to change my twitter app, what´s the best one for my iphone? Help please? #twitterapps : #twitter vs. #tweetcaster vs. #ubersoical ?"',neutral
'#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps"',neutral
'I just installed the new Twidroyd for #Twitter on my #Android Phone - It´s #Free, give it a try. http://t.co/eKh5JmGp"',neutral
'Yahoo Profit Drops 26 Per Cent! http://t.co/7AdG1Hss #yahoo #microsoft"',neutral
'... I think I should work for #MelaleucaTheWellnessCompany ... Probably the best company to work for .. oh and #Google"',positive
'Hey @Apple - need more servers for Siri traffic?  I´m sure Google can help you out with that..."',neutral
'@Apple  I asked Siri ´if she swallowed´ she relied ´Lets see´ - wtf do i do now? wank over my phone?"',neutral
'Minority Report-esque interface developed by #Microsoft Research and Carnegie Mellon University http://t.co/0yqEKDzg via @Digg"',neutral
'#Twitter´OFF :| GN´â™¥"',neutral
'dear #google & #samsung... learn some presentation 101 first. please."',negative
'Early cloud #Microsoft partners will be rewarded w/ a Cloud Accelerate badge, & additional internal use rights! http://t.co/pjkyf0gf"',neutral
'Stay young, stay foolish. But take ownership when u f*ck up, don´t complain, and never give up. #resilience @apple"',neutral
'Windows Phone Tango and Apollo rumors suggest new screen specs',neutral
'quick hands on #Galaxy #Nexus by #Samsung #google #android #ICS #4 #icecreamsandwich http://t.co/22cF2m6d"',neutral
'http://t.co/zBLtZ5MW German Federal #Trojan´s got a BigBrother. #Gov spying on its people, #Microsoft´s 32bit/64bit #Windows is target"',negative
'@Apple Safari Reader owns the worldwide web"',positive
'Sdk available now, so you can develop apps for the phone and tablets right now. #Android4.0 #Google"',neutral
'RT @FierceWireless: #Microsoft´s Ballmer promises #Nokia Windows phones next week, slams #Android.  http://t.co/OH8Btu2e #WP7 #Window..."',neutral
'Ouch, crash and burn. #Android facial recognition in #IceCreamSandwich didn´t work during the presentation. http://t.co/6vsasZyT #Google"',negative
'RT......zZzZzZzZzZzZzZzZzZzZ...... #Twitter off"',neutral
'#google #IceCreamSandwich #Samsung #Updates #Android | ',neutral
'RT @elishiawindfohr: #Twitter: Each second there are 2900 new tweets, for a total of 250 million per day and 7.5 billion per month. Rate ..."',neutral
'#Twitter Im coming home Im coming home tell the world that Im coming home lls"',neutral
'Ohemgee. Be a follower..... #twitter"',neutral
'why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple"',negative
'#Microsoft Pushing out #Mango to more Windows Phones http://t.co/xPIaZ8Xp #wp7 #orange #samsung #lg #optimus7 #htc #dell #msft"',neutral
'@apple so why is the ios support for 2nd gen ipods discontinued? It is only 3 years old? Give us an ios update please!"',neutral
'It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5"',negative
'Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/QoXd3I0s #google"',neutral
'Texas Instruments confirms Galaxy Nexus has newer OMAP4460 processor http://t.co/wqQV4lyu #google #googlenexus"',neutral
'#Followme dijo #Twitter :D"',neutral
'Awesome! #Microsoft  #holodeck bit.ly/qpGxle"',positive
'I really dnt like to #follow people who never on #twitter"',neutral
'@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO"',negative
'#Samsung Galaxy Nexus #smartphone, Android 4.0 Ice Cream Sandwich unveiled by #Googleâ€¦ http://t.co/nds5B4ej #BT"',neutral
'What does it take to get a job at #Google? #recruiting http://t.co/eVjiH7oD"',neutral
'#Reviora can host #Microsoft #Dynamics #SL #MSDYNERP - http://t.co/WFoopX1Y"',neutral
'#Microsoft #Cloud windows+server - RT @WesleyBackelant: Announcing the Microsoft ...: WindowsAzure : @Wesle... http://t.co/NaPViOT8 #TCN"',neutral
'I just realized that the reason I got into twitter was ios5 thanks @apple"',positive
'Android 4.0 OS Ice Cream Sandwich and the Galaxy Nexus is out.seems that smartphones are named by hungry developers  #Google+"',neutral
'#Microsoft´s First Global Multi-Product Holiday Campaign  http://t.co/6nUFdiBN"',neutral
'thinking thinking thinking thinking #dotnet #asp #microsoft"',neutral
'Is #Google #Flight Search a threat to the OTA and #travel #Meta #Search #market in India? Check- http://t.co/RuhglJMt #News"',neutral
'Comp crash #Microsoft :/ Wouldn´t get this with an iMac -__-"',negative
'@iTaylor_Simpson u post on #twitter to much like ery 5 sec #Damn"',neutral
'@TheMarketaire This whole #Facebook change makes more nervous than excited. What about privacy, etc.? I much prefer #Twitter"',positive
'#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps"',neutral
'Cream on the inside, clean on the outside. Ice Cream phone job. #Google"',positive
'Got to do it!RT @ElderMLTillerJr: I am cracking up at @BishopWSThomas advertising for #Twitter LOL"',neutral
'#Android #Google Samsung Galaxy Nexus release details still in short supply http://t.co/s6A7Y9WT #DhilipSiva"',neutral
'@Bestbuy or @Apple to purchase my imac, iPad, and printer? #StudentDiscounts?"',neutral
'Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable"',negative
'Engadget following #android #galaxy #nexus event #google #samsung #ICS http://t.co/vZx25ht8"',neutral
'#Microsoft CEO on #Android: You Have to Be a #Computer #Scientist to Use It - huffington post http://t.co/7PDBvauM #tech #mobile"',neutral
'In case you were curious like me.... IPhone 4S: Which Apple #iPhone is Best for Price, Features? http://t.co/d1LonCzc @Apple #HealthIT #EHR"',neutral
'Thanks to Samsung and Google, I´m now craving for some Ice Cream Sandwich !  #IceCreamSandwich #Google #Samsung"',positive
'Rumor: New screen sizes, specs coming to Windows Phones #windowsphone #microsoft http://t.co/gOQgJvvb #microsoft"',neutral
'Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 25"',neutral
'@trisha_ps @iCloud is Cloudy. @apple tech, not very techy."',negative
'Can this ho Siri update your tweets? cc: @apple @iPhone_News"',neutral
'RT @Jackiebaaby_: #´s are  #for #twitter #NOT #facebook. Duuuuhhh"',neutral
'Just because you follow me on #twitter does NOT mean we cool. As you can see I didnt follow yo thirsty ass back. #dummy -.- xD"',neutral
'#Microsoft - We put the ""backwards"" into backwards compatibility. #instantfollowback"',negative
'Check out our podacst regarding Sugar´s Edge In Tems Of Database Structure http://t.co/Qv4DAw7A #Microsoft CRM"',neutral
'@SteveJobs : @Twitter overwhelmed by reaction to @Apple founder´s death - Telegraph http://t.co/tqF6pjf5"',neutral
'#Microsoft #Cloud Microsoft launches Virtual Academy in Kenya: Microsoft East and Southern Africa launched ... http://t.co/GllUQiTJ #TCN"',neutral
'I hate tron theme #Google #ICS"',negative
'RT @MonicaaC_: Damn tired! .. Need some rest! Night #twitter"',neutral
'#goodtoknow #privacy #google http://t.co/Ye337YR6"',neutral
'I wonder If the person who has @apple is holding out for apple to buy it from them"',neutral
'ok it is back @iphone @apple"',neutral
'Ok this @Apple software update for the #iphone is taking waaaaay too long!',negative
'Mmm... #SmarterPhone RT @Android: Introducing Ice Cream Sandwich, the delicious new version of Android: http://t.co/AXl2K1Gs #ICS #google"',positive
'RT @AppSense: â€œ@Simon_townsend: #Microsoft tests and proves #AppSense enterprise scalability! 78K users on one personalization DB - http ..."',neutral
'#Microsoft Changes The Yet Known# Design of #Windows Eight http://t.co/EGa3wrr4"',neutral
'From it´s laughable file: #google will #encrypt #search results BUT only if U have ""logged in"" so they can maximize their #data #collection!"',negative
'@teggyboy00 oh wow lmao thank no wonder why no one answered me !! addicted #twitter"',neutral
'â˜¼ #SOLAR â˜º @RhondaParsons â˜¼ @SOLar_sister ( A simpLe @ #symboL and AN #underscore ) This is #twitter WHERE WE #twEEt â˜¼"',neutral
'Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing ""Who Knew"" by Pink.  Still not Flawless @Apple"',negative
'Thank you, me too. Looking forward to reviewing your book @WarrenWhitlock #twitter #authors #socialmedia"',neutral
'RT @PacktEnterprise: Book Published! #Microsoft #SharePoint 2010 Power User Cookbook: http://t.co/A8ZqMpYP @spmentor http://t.co/v0mO0VkQ"',neutral
'search #facebook for ""FACEBOOK/TWITTER INDIE ARTIST MUSIC NETWORK (WORLDWIDE)',neutral
'.@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn"',neutral
'New Galaxy Nexus: OS /Hardware Improvements -  Camera Zero Shutter Lag #nexus #samsung #google #android bit.ly/nEJbyE"',positive
'Club CALUMO was FUN!  See the vidio CALUMO Blog #Denali #Microsoft #SQLServer http://t.co/8THqSRBd via @calumo"',neutral
'I hope @apple will release an app for Siri for us non-apple 4s users. #apple #iphone #siri"',neutral
'I want Siri on my iPhone4 ! @apple"',neutral
'@rygurl you need an @apple iphone4S with Siri!"',positive
'@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. ',negative
'Never purchasing another item from @apple."',negative
'If @Mr_A_Johnson is up. #twitter is gona have some technical difficulties"',neutral
'RT @NeowinFeed: Google shows off new Ice Cream Sandwich features #google #android http://t.co/LlJpGM2a #neowin"',neutral
'The four American companies that have come to define 21st-century on the verge of war. @Amazon @Apple @Facebook and @Gâ€¦http://t.co/PxUlr5dw"',neutral
'#uberSocial on #blackberry #crackberry is better than the actual #twitter site. It´s wack on the iphone. #CoolStoryBro"',neutral
'Calling all #marketing executives in #houston - sign up for #google #training - http://t.co/vo542MrZ - I can´t wait to be there for the week"',positive
'@Apple´s Siri is witchcraft.  What´s next @googleresearch. 2 yr lead lost?"',positive
'how do you sync gmail contacts with your iphone? help please! @apple @gmail"',neutral
'I love our @apple imac even though I haven´t seen my hubby in 3 days now! #geek"',positive
'@apple store NY"',neutral
'Ha! The demo fail is still resonating.. Kinda funny, but on a global scale. Cool feature, though! #android #google #galaxynexus"',neutral
'#iOS5 update submitted to @apple! Thanks for all the support!"',positive
'RT @InternetBH: Microsoft finalises Skype deal - IT Business - News & Features - http://t.co/F9b14RY3: http://t.co/275l0zay #skype #Micr ..."',neutral
'#google #yahoo #bing Ballmer on Bing, Xbox, Apple...oh, and Yahoo, too http://t.co/CfHu4jBP #seo #serps"',neutral
'RT @callmePinoc: RT @Crazy_Golfer: ""If you lose followers on #Twitter don´t worry even Jesus lost followers"" ~Unknown #quote via @smqueue"',neutral
'#microsoft says #android is too complex.  Interesting - from a user angle contrast #windows with #macos for a comparison.http://goo.gl/Wu3Zm"',neutral
'#Google´s #Nexus really i wanna it now #Awesome"',positive
'What Is Ice Cream Sandwich? - http://t.co/otA4rqi9 #Google"',neutral
'Maybe #apple could use some of it´s billions to do some good in the world?...oh wait, that´s what #microsoft does."',positive
'on hold for another half hour. phone is ringing but no one is picking up.@apple you stink."',negative
'Pondering the iOS update... From the sounds of @MikeFerri´s difficulties, I may just hold off :/ @Apple, FIX IT!"',negative
'gotta get back on my #twitter #grind"',neutral
'#Microsoft launching the OmniTouch, how funny I though that was an @ALUEnterprise solution! #copyright http://t.co/5ExkV0L7 via @l_evenement"',neutral
'You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan"',neutral
'#Android #Google Samsung Galaxy Nexus launching in US, Europe and Asia this November http://t.co/NLdTU5oY #DhilipSiva"',neutral
'RT @OKadeState: @Paigemorse1 tweeted!  Its official she is still alive #Twitter"',neutral
'It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!"',positive
'Windows 7 Roadmap = #Windows #8 Roadmap: M3 final 6.1.6801 (7) and 6.2.8102 (8). #Beta at #CES? :O #Microsoft"',neutral
'Windows Phone firmware updates due next week to enable Internet Sharing http://t.co/yPF60YEe #microsoft #windows"',neutral
'#Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs"',negative
'Im gonna need #Twitter to get all these problems fixed ASAP."',negative
'Reader ´Tronman´ compares #SteveBallmer to an albatross around #Microsoft´s neck.  Do you agree?  Join the discussion! http://t.co/Mn39R2vc"',negative
'#Microsoft details Search improvements in #Windows 8 Start Screen http://t.co/f6AztiaD"',positive
'#Android #Google Samsung Galaxy Nexus Coming Soon To Three UK http://t.co/FQbfdiYE #DhilipSiva"',neutral
'My iPhone 4S battery lasted longer than a day. That hasn´t happened since my edge iPhone. Nice job, @apple."',positive
'Wow... @Apple sold 4 million iPhone 4S in a single weekend... http://t.co/WDLHZsza"',neutral
'@TheZeroOfTime #microsoft"',neutral
'@apple @AppStore @ihelpline when r u going to provide the ability to password protect iPad email???"',neutral
'Once again getting great customer service from the @apple store at millenia mall."',positive
'Yep it´s official, my tweets that get RT´d aren´t showing me when they get RT´d. Dammit #Twitter, sometimes it´s #Love/Hate thing we have!!"',negative
'Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can´t believe this is same co. that makes all that cool shit."',negative
'#twitter is like therapy for sum people say wat you feel & get alot off yo chest.. And don´t care wat the next person say"',neutral
'Microsoft opens the spigot, Windows Phone Mango available to all #microsoft #windowsphone http://t.co/e4LLmmyg"',neutral
'Good Night #Twitter."',neutral
'All the info on Ice Cream Sandwich here : http://t.co/f0rNfGPA @twandroid #google #nexusprime #ics #android"',neutral
'Is there a way that I can post voice notes on #twitter??"',neutral
'Follow your interests #twitter"',neutral
'Twitter´s Thinking About Paying People to Tweet - Technology - http://t.co/zA9h5o5U #PayMe #Twitter"',neutral
'WP7 is getting there: #Microsoft Claws Back to Smartphone Relevance: Rich Jaroslovsky - Bloomberg http://t.co/JIMML4RC via @BloombergNews"',positive
'Ballmer Feels Lucky Microsoft Didn´t Buy Yahoo in 2008, http://t.co/mPZoilRs #microsoft"',neutral
'#Android: This Is the #Samsung Galaxy Nexus, #Google´s New Official Android Phone(via @Gizmodo) - The... http://t.co/wS4GS9uk"',neutral
'who follows ppl then unfollows them?!..  #YourLameAsHell tryna make it seem like your somebody IMPORTANT!! it´s only #TWITTER! smh.."',neutral
'iPhone 4S 8MP camera : ItÂ´s a SONY. http://t.co/6uYIZeAK @sony @apple #apple #iphone4S #cameras"',neutral
'#Google releases the latest version of #Android 4.0  #IceCreamSandwich http://t.co/fB7y5E1e"',neutral
'RT @Logic2020: Why I love #Microsoft &gt; Microsoft hosting Kids TechFest to encourage careers in tech  http://t.co/fmzFWgYv #babygeeks  ..."',positive
'SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator ---- Posts on Twitter"',neutral
'Siri is cool but more importantly handy and FUNNY. @Apple please configure it for Canada. What´s with the racism, EH?"',neutral
'GN #Twitter.......z.z.z.z.z.z Z  Z z z z"',neutral
'Leaving for #smau : I´ll be at the #Microsoft stand as a trainer for the #wpdev labs. Meet me there!"',neutral
'#Microsoft Stores offering a free Windows Phone with a $499 purchase http://t.co/nfpvegDK #wp7 #windowsphone #wp75 #mango #msft"',neutral
'#Android #Google Meet the Samsung Galaxy Nexus and Ice Cream Sandwich http://t.co/2VWXzReW #DhilipSiva"',neutral
'@apple must be launching a #searchengine - imminent surely. #AppleSearch #AppleCore #bigapple haha! Please be the latter"',neutral
'#GA-repost: RT @whymicrosoft Are you making the move from #GoogleApps to #Microsoft? &gt;&gt; #Metalogix can migrate y... http://t.co/z3Z3X9pA"',neutral
'New #Google #Nexus -&gt; http://t.co/qR1eijhw"',neutral
'#Android #Google First Official Galaxy Nexus / Ice Cream Sandwich Promo Video With Feature Highlights... http://t.co/LtrC34VG #DhilipSiva"',neutral
'Creating #Pareto charts using #Microsoft #Excel http://t.co/B59lPyCS"',neutral
'#twitter why must you be so difficult?"',negative
'Congratulations to Softline Pastel (@SageGroupZA) for winning #ISV of the Year at #Microsoft #partnersummit"',neutral
'Internet Explorer 9 is the biggest pile of shit ever seriously #Microsoft #IE9"',negative
'I love @apple & I love my phone.. but ever since this damn update my texts keep saying they´re full when there are none & that´s a PROBLEM!!"',neutral
'@RAD_Software Yes good points about #ERP but unfair assessment in saying ""#SAGE, #SAP and #Microsoft Dynamics, are not delivering"""',positive
'How to Create your own Google Maps http://t.co/yyNzSP8J #google #maps"',neutral
'#twitter is great once you get the hang of itâ€œ@HaxxDubbz: @CBMonarch @Bran_Day I told her to get one to be a cool kid lolâ€?"',neutral
'#Google confirms #Nexus S will get #Ice_Cream_Sandwich -- for real this time (#Gingerbread devices, too) http://t.co/RajAK9P2"',neutral
'#Google Google Event: Vorstellung des Samsung Galaxy Nexus (Caschys Blog): o3:30 klingelte mein Wecker. Googles ... http://t.co/QnVDVcMX"',neutral
'#Google #Cloud Service Blackouts Threaten Cloud Users: During a 30-day period in August and September, for ... http://t.co/G0ElVRVJ #TCN"',negative
'@Apple buried the ability to manage #newsstand subscriptions under App Store Settings. This is inconvenient at best."',neutral
'#google Finally!! All searches for logged in users will be on https! http://t.co/RaUeRrtF"',positive
'Lies @apple. the battery on this new iPhone4S is definitely not any better."',negative
'Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!"',negative
'RT @Ashu180489: Progress is a Process , Surprised to see a sensible topic trending worldwide in #twitter"',neutral
'Steve Ballmer: #Nokia to reveal multiple #Windows Phone devices next week, #Microsoft may make their own - http://t.co/KnmpXSW0"',neutral
'Samsung Galaxy Nexus announced, full specs available  http://t.co/VNGazg48  #samsung #galaxy #nexus #google #android #ics #thetechcheck"',neutral
'Telegraph reports that the biggest threat to #facebook is its power users have shifted to #twitter or #google+ http://t.co/JHdTYKCV"',positive
'Installing .NET framework, this might take very many years. Come back when your unborn child is in college. #microsoft"',negative
'RT @iancollinsuk: Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple ..."',neutral
'RT @SAPWorkSmarter: Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. h ..."',neutral
'@jacobstanton2 @Ryan_Burke4 doesn´t take much to be cool on #twitter"',neutral
'The debate is, am I allowed to use my BB pen at #Microsoft?"',neutral
'#Google weiterhin auf der Erfolgsspur http://t.co/lf3RkTcJ"',neutral
'â€œ@rianru: #Google Ð¿Ñ€ÐµÐ´Ñ?Ñ‚Ð°Ð²Ð¸Ñ‚ Ð½Ð¾Ð²ÑƒÑŽ Ð²ÐµÑ€Ñ?Ð¸ÑŽ #Android 4.0 http://t.co/ttgycujsâ€?',neutral
'@thejcurt unlocking it at @apple store. RIP, Mr. Jobs."',neutral
'Damn it @Apple!! Whatchu done to my phone??"',negative
'If #Microsoft had more interoperability between their products (Xbox 360, Windows 7, Windows Phone 7, Zune) I´d be a Windows Phone user."',negative
'Progress is a Process , Surprised to see a sensible topic trending worldwide in #twitter"',neutral
'RT @MontrelCox: It´s twitter. Get over it or go back to Facebook and unfollow me. This is my free forum to say exactly what thee fuck I  ..."',neutral
'The iPhone update has segregated my contacts between iPhone users and non-iPhone users. They just had to call out those non-users @apple"',neutral
'Dear @apple, why did my #Apple ID change to my colleagues&#39; when I charged on her Mac? Now can&#39;t download or update apps. #iPhone"',neutral
'WHAT!!!!!! #Google #Chrome syncs with your #Android device´s bookmarks!?!?! NICE!"',positive
'Why I love #Microsoft &gt; Microsoft hosting Kids TechFest to encourage careers in tech  http://t.co/fmzFWgYv #babygeeks via @Techflash"',positive
'#Android #Google Samsung´s Galaxy Nexus - It´s Official, It´s Headed For Global Availability, And It´s... http://t.co/TI9Hy8LW #DhilipSiva"',neutral
'Galaxy Nexus #GalaxyNexus #Android #Google http://t.co/AWJHxwGT #followme"',neutral
'@msleamichele @NayaRivera @DiannaAgron @MsAmberPRiley please could u somehow convince #hemo to join #twitter we need her awesomeness!! #glee"',neutral
'Ready for some Ice Cream Sandwich! #google #android"',positive
'New Galaxy Nexus: OS Improvements -  Stacks & Scrolling introduced for widgets  for richer content #samsung #google #android bit.ly/nEJbyE"',positive
'Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise."',negative
'I hate you @apple for not sending Toledo,oh @bestbuy any @iPhone for @verizon even after I pre ordered!!!"',negative
'@apple PLEASE FIX #Siri!!!! She can´t connect to your network!!!!!!!"',negative
'Wow jus made a #TWITTER i reallly dnt kno how o2 use it so i neea alittle help"',neutral
'Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/HHfJbBHU #neowin"',neutral
'RT @iPadPowerUsers On Google+ then go here http://t.co/r4bIDq9D #GPlus #Googleplus #Google #teamfollowback #socialnetwork"',neutral
'@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA"',positive
'@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don´t remind us of it."',negative
'@Apple iTunes is the worst program ever. For such a great phone, you make some awful software."',negative
'Mmmm Ice Cream Sandwich #Android #Google"',positive
'#twitter show my fuckin retweets bitch"',negative
'FUCK #facebook #twitter is way better #teamfollowback #followme"',positive
'Why do I always blow up #twitter at like 1am? #sorryfollowers"',neutral
'Installed io5 - fine on ipad but wiped wife´s iPhone and restore from backup failed! #Bigtrouble #help @apple"',negative
'@JarjarTee @apple That´s really good. Makes you happy to pay the infamous @apple tax :)"',neutral
'Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity"',negative
'@azrael: RT @DavideGori: And again #MobileMe is down. Issues when syncing, accessing mail... is this a good premise for #iCloud? @Apple, ..."',negative
'Steve Ballmer slams Android #microsoft #steveballmer http://t.co/rVTTHD7P"',neutral
'@RonakKataria @apple you heard of testing before deploying updates. Difference between microsoft & apple: None"',negative
'While the improvements in @Apple Mac OS 10.7 #Lion are great, the full-screen implementation on 2 monitors is broken."',neutral
'RT @techinciter: Suppose Microsoft Had Bought Siri? - Forbes http://t.co/ZRYNdhDi #apple #microsoft #siri #msft"',neutral
'#Twitter #twitter :)"',positive
'Goodnight #twitter"',neutral
'http://t.co/J3p3KYHf',neutral
'17 Things You Didnâ€™t Know About #Twitter: http://t.co/LL61rx2R via @TweetSmarter RT @sharonhayes @ChoiceZnewZ #facts"',neutral
'Sweet Ice Cream Sandwich RT @Pocketlint Google Android 4.0 Ice Cream Sandwich officially detailed #google #ics http://t.co/iUY0DF5S"',positive
'*singing*! everytime  I  try  to leave something keeps  pulling me  back  (me  back) telling me  I  need  #Twitter & all that. lol  (:"',positive
'iPhone 4S: Setup SIRI for your Tweets. http://t.co/ws7LINTS @apple #apple #iphone #siri"',neutral
'#Google, #Samsung Add â€™Ice Cream Sandwichâ€™ Phone http://t.co/oOdugpqG $AAPL $GOOG #hitech #gadgets #mkt #digital"',neutral
'RT @KentisG: Agree ! RT @MuraineR: #Microsoft launching the OmniTouch, how funny I though that was an @ALUEnterprise solutiâ€¦ (cont) http ..."',neutral
'If #Microsoft earnings disappoint, blame consumer PC sales http://t.co/xEKwTlUg"',neutral
'@apple @internode #icloud #ios5 #piracy omg no wonder ive used all my downloads!!"',neutral
'ICS on the Galaxy Nexus has very smooth and responsive screen and widget navigation. #Google #Android #ICS"',positive
'i better be able to see my RT´s tomorrow #twitter and tell that lil blue ass bird, and fat ass over capacity whale to!"',negative
'Night #Twitter"',neutral
